Numero de accidentes por año:  5783
Total de fallecidos:  115122
fallecidos por año:
|      |   sum |   count |     mean |   max |   min |
|------+-------+---------+----------+-------+-------|
| 1908 |     1 |       1 |  1       |     1 |     1 |
| 1909 |     1 |       1 |  1       |     1 |     1 |
| 1912 |     5 |       1 |  5       |     5 |     5 |
| 1913 |    45 |       3 | 15       |    30 |     1 |
| 1915 |    40 |       2 | 20       |    21 |    19 |
| 1916 |   108 |       5 | 21.6     |    27 |    19 |
| 1917 |   138 |       7 | 19.7143  |    24 |    14 |
| 1918 |    65 |       4 | 16.25    |    23 |     1 |
| 1919 |    20 |       8 |  2.5     |    14 |     0 |
| 1920 |    25 |      18 |  1.38889 |     4 |     1 |
| 1921 |    67 |      12 |  5.58333 |    46 |     1 |
| 1922 |    89 |      13 |  6.84615 |    34 |     1 |
| 1923 |    77 |      12 |  6.41667 |    52 |     1 |
| 1924 |    20 |       7 |  2.85714 |     8 |     1 |
| 1925 |    34 |      11 |  3.09091 |    14 |     0 |
| 1926 |    37 |      13 |  2.84615 |     7 |     0 |
| 1927 |    52 |      20 |  2.6     |     7 |     0 |
| 1928 |   113 |      36 |  3.13889 |    14 |     1 |
| 1929 |   133 |      39 |  3.41026 |    14 |     1 |
| 1930 |   147 |      26 |  5.65385 |    48 |     1 |
| 1931 |   102 |      33 |  3.09091 |     8 |     1 |
| 1932 |    75 |      28 |  2.67857 |     9 |     1 |
| 1933 |   205 |      28 |  7.32143 |    73 |     1 |
| 1934 |   129 |      30 |  4.3     |    14 |     0 |
| 1935 |   234 |      38 |  6.15789 |    50 |     0 |
| 1936 |   252 |      46 |  5.47826 |    17 |     0 |
| 1937 |   227 |      30 |  7.56667 |    35 |     1 |
| 1938 |   467 |      57 |  8.19298 |    20 |     1 |
| 1939 |   160 |      28 |  5.71429 |    14 |     0 |
| 1940 |   213 |      22 |  9.68182 |    29 |     0 |
| 1941 |   246 |      22 | 11.1818  |    22 |     2 |
| 1942 |   506 |      37 | 13.6757  |    36 |     0 |
| 1943 |   676 |      42 | 16.0952  |    40 |     1 |
| 1944 |   689 |      54 | 12.7593  |    28 |     0 |
| 1945 |  1365 |      73 | 18.6986  |    59 |     1 |
| 1946 |  1327 |      88 | 15.0795  |    39 |     0 |
| 1947 |  1306 |      82 | 15.9268  |    53 |     0 |
| 1948 |  1254 |      76 | 16.5     |    52 |     1 |
| 1949 |  1163 |      67 | 17.3582  |    55 |     0 |
| 1950 |  1438 |      69 | 20.8406  |    80 |     0 |
| 1951 |  1245 |      74 | 16.8243  |    56 |     1 |
| 1952 |  1274 |      65 | 19.6     |    87 |     1 |
| 1953 |  1302 |      69 | 18.8696  |   129 |     0 |
| 1954 |  1005 |      62 | 16.2097  |    47 |     0 |
| 1955 |   911 |      57 | 15.9825  |    66 |     0 |
| 1956 |  1001 |      53 | 18.8868  |   128 |     0 |
| 1957 |  1114 |      66 | 16.8788  |    79 |     1 |
| 1958 |  1391 |      68 | 20.4559  |    99 |     1 |
| 1959 |  1145 |      66 | 17.3485  |    68 |     0 |
| 1960 |  1738 |      71 | 24.4789  |   128 |     1 |
| 1961 |  1539 |      59 | 26.0847  |    83 |     1 |
| 1962 |  2123 |      77 | 27.5714  |   130 |     1 |
| 1963 |  1379 |      62 | 22.2419  |   118 |     0 |
| 1964 |  1354 |      69 | 19.6232  |    87 |     0 |
| 1965 |  1824 |      75 | 24.32    |   121 |     0 |
| 1966 |  1712 |      76 | 22.5263  |   133 |     0 |
| 1967 |  1814 |      96 | 18.8958  |   126 |     1 |
| 1968 |  2164 |      97 | 22.3093  |   155 |     0 |
| 1969 |  2101 |      91 | 23.0879  |   120 |     0 |
| 1970 |  2118 |      91 | 23.2747  |   112 |     1 |
| 1971 |  1951 |      69 | 28.2754  |   163 |     0 |
| 1972 |  2946 |     105 | 28.0571  |   174 |     0 |
| 1973 |  2477 |      91 | 27.2198  |   176 |     1 |
| 1974 |  2387 |      86 | 27.7558  |   346 |     1 |
| 1975 |  1659 |      78 | 21.2692  |   188 |     0 |
| 1976 |  2037 |      88 | 23.1477  |   176 |     1 |
